PAIS,CONTINENTE,EXP_TOTAL,IMP_TOTAL,BALANCE_PROM,EXP_PROM,IMP_PROM,TC_PROM,N_MESES,CLUSTER
Dominica,América del Norte,324813000,12305000,793167.5126903553,824398.4771573604,31230.964467005077,12.95999035532995,394,0
Ecuador,América del Sur,14221956000,4284450000,25222096.446700506,36096335.02538071,10874238.578680202,12.95999035532995,394,0
Egipto,África,1495395000,2335727000,-2132822.335025381,3795418.781725888,5928241.116751269,12.95999035532995,394,0
El Salvador,América del Norte,19379576000,3899257000,39290149.746192895,49186741.11675127,9896591.370558375,12.95999035532995,394,0
Emiratos Árabes Unidos,Asia,7838406000,6879284000,2434319.7969543147,19894431.472081218,17460111.675126903,12.95999035532995,394,0
Eritrea,África,2926000,1430000,3796.9543147208124,7426.395939086295,3629.4416243654823,12.95999035532995,394,0
Eslovaquia,Europa,806622000,6129475000,-13509779.187817259,2047263.9593908628,15557043.147208123,12.95999035532995,394,0
Eslovenia,Europa,532664000,2798842000,-5751720.812182741,1351939.0862944163,7103659.898477158,12.95999035532995,394,0
España,Europa,108557518000,112652214000,-10392629.441624366,275526695.43147206,285919324.87309647,12.95999035532995,394,0
Estados Unidos,América del Norte,8089783075000,4974473911000,7906876050.761421,20532444352.791878,12625568302.030457,12.95999035532995,394,1
Estonia,Europa,165859000,2165777000,-5075934.010152284,420961.92893401015,5496895.939086295,12.95999035532995,394,0
Etiopía,África,54462000,101329000,-118951.7766497462,138228.42639593908,257180.20304568528,12.95999035532995,394,0
Fiji,Oceanía,26482000,74024000,-120664.97461928934,67213.19796954315,187878.1725888325,12.95999035532995,394,0
Filipinas,Asia,2851269000,52016953000,-124786000.0,7236723.350253807,132022723.3502538,12.95999035532995,394,0
Finlandia,Europa,3550164000,12595892000,-22958700.507614214,9010568.527918782,31969269.035532996,12.95999035532995,394,0
Francia,Europa,29767956000,96737196000,-169972690.35532996,75553187.81725888,245525878.17258883,12.95999035532995,394,0
Francés Territorio Sur de la Antártida,Antártida,277000,285000,-20.304568527918782,703.0456852791879,723.3502538071066,12.95999035532995,394,0
Gabón,África,53969000,339623000,-725010.152284264,136977.1573604061,861987.30964467,12.95999035532995,394,0
Gambia,África,10388000,8717000,4241.116751269035,26365.48223350254,22124.3654822335,12.95999035532995,394,0
Georgia,Asia,116291000,359081000,-616218.2741116751,295154.82233502535,911373.0964467005,12.95999035532995,394,0
Ghana,África,274708000,99090000,445730.96446700505,697228.4263959391,251497.461928934,12.95999035532995,394,0
Gibraltar,Europa,11554000,43694000,-81573.60406091371,29324.8730964467,110898.47715736041,12.95999035532995,394,0
Granada,América del Norte,46838000,2627000,112210.65989847716,118878.17258883249,6667.51269035533,12.95999035532995,394,0
Grecia,Europa,1066079000,3738263000,-6782192.893401016,2705784.263959391,9487977.157360407,12.95999035532995,394,0
Guadalupe,América del Norte,26622000,1027000,64961.92893401015,67568.52791878172,2606.5989847715737,12.95999035532995,394,0
Guam,Oceanía,78777000,7541000,180802.03045685278,199941.62436548225,19139.593908629442,12.95999035532995,394,0
Guatemala,América del Norte,44617302000,12508163000,81495276.6497462,113241883.24873096,31746606.59898477,12.95999035532995,394,0
Guayana,América del Sur,1022016000,230780000,2008213.197969543,2593949.23857868,585736.040609137,12.95999035532995,394,0
Guayana Francesa,América del Sur,34950000,6447000,72342.63959390864,88705.58375634518,16362.944162436548,12.95999035532995,394,0
Guinea,África,42419000,31443000,27857.86802030457,107662.43654822336,79804.56852791877,12.95999035532995,394,0
Guinea Ecuatorial,África,53883000,298420000,-620652.2842639594,136758.88324873097,757411.1675126903,12.95999035532995,394,0
Guinea-Bissau,África,6607000,1365000,13304.568527918782,16769.035532994923,3464.467005076142,12.95999035532995,394,0
Haití,América del Norte,1006523000,484718000,1324378.1725888324,2554626.9035532996,1230248.730964467,12.95999035532995,394,0
Honduras,América del Norte,15520847000,9624428000,14965530.456852792,39393012.69035533,24427482.233502537,12.95999035532995,394,0
Hong Kong,Asia,18584962000,14347946000,10753847.71573604,47169954.31472081,36416106.59898477,12.95999035532995,394,0
Hungría,Europa,7283474000,21868980000,-37019050.76142132,18485974.61928934,55505025.38071066,12.95999035532995,394,0
India,Asia,53408539000,89387671000,-91317593.90862945,135554667.51269037,226872261.42131978,12.95999035532995,394,0
Indonesia,Asia,3420756000,37583419000,-86707266.49746193,8682121.827411167,95389388.32487309,12.95999035532995,394,0
Irak,Asia,749114000,2139000,1895875.6345177665,1901304.5685279188,5428.934010152284,12.95999035532995,394,0
Irlanda,Europa,7871374000,38517695000,-77782540.60913706,19978106.59898477,97760647.20812182,12.95999035532995,394,0
Irán,Asia,329161000,542144000,-540565.9898477157,835434.0101522843,1376000.0,12.95999035532995,394,0
Isla Norfolk,Oceanía,116000,414000,-756.3451776649746,294.4162436548223,1050.761421319797,12.95999035532995,394,0
Isla de Navidad,Asia,500000,2091000,-4038.0710659898477,1269.0355329949239,5307.106598984771,12.95999035532995,394,0
Islandia,Europa,49537000,293052000,-618058.3756345178,125728.42639593908,743786.8020304568,12.95999035532995,394,0
Islas Caimán,América del Norte,1576466000,26554000,3933786.8020304567,4001182.7411167515,67395.93908629441,12.95999035532995,394,0
Islas Cocos (Keeling),Asia,70000,2309000,-5682.741116751269,177.66497461928935,5860.406091370558,12.95999035532995,394,0
Islas Cook,Oceanía,706000,5096000,-11142.131979695432,1791.8781725888325,12934.010152284263,12.95999035532995,394,0
Islas Heard y McDonald,Oceanía,107000,5800000,-14449.238578680202,271.5736040609137,14720.812182741116,12.95999035532995,394,0
Islas Malvinas,América del Sur,61000,441000,-964.4670050761422,154.8223350253807,1119.2893401015228,12.95999035532995,394,0
Islas Marianas del Norte,Oceanía,794000,24756000,-60817.25888324873,2015.228426395939,62832.48730964467,12.95999035532995,394,0
Islas Marshall,Oceanía,18820000,79314000,-153538.07106598985,47766.497461928935,201304.56852791877,12.95999035532995,394,0
Islas Pitcairn,Oceanía,71000,6877000,-17274.111675126904,180.2030456852792,17454.314720812185,12.95999035532995,394,0
Islas Salomón,Oceanía,19997000,7947000,30583.756345177666,50753.807106598986,20170.05076142132,12.95999035532995,394,0
Islas Vírgenes,América del Norte,107286000,404941000,-755469.5431472082,272299.4923857868,1027769.0355329949,12.95999035532995,394,0
Islas Vírgenes Británicas,América del Norte,457976000,280229000,451134.51776649745,1162375.6345177665,711241.1167512691,12.95999035532995,394,0
Islas del Canal,Europa,167461000,491000,423781.7258883249,425027.91878172586,1246.1928934010152,12.95999035532995,394,0
Israel,Asia,4051678000,16886818000,-32576497.461928934,10283446.700507615,42859944.162436545,12.95999035532995,394,0
Italia,Europa,24485164000,140791136000,-295192822.33502537,62145086.29441624,357337908.6294416,12.95999035532995,394,0
Jamaica,América del Norte,3865644000,132036000,9476162.436548224,9811279.187817259,335116.7512690355,12.95999035532995,394,0
Japón,Asia,75381364000,423462331000,-883454230.964467,191323258.88324872,1074777489.8477159,12.95999035532995,394,3
Jordania,Asia,303832000,582601000,-707535.5329949239,771147.2081218275,1478682.7411167512,12.95999035532995,394,0
Katar,Asia,991420000,2557166000,-3973974.61928934,2516294.4162436547,6490269.035532995,12.95999035532995,394,0
Kazajstán,Asia,796740000,420673000,954484.7715736041,2022182.7411167512,1067697.9695431471,12.95999035532995,394,0
